seed,condition,buffer_size,label_coverage,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,mean_doubt,mean_curiosity,mean_egogate
0,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
0,random,40,5,4,8,14,7,7,0,0,0,0,0,0.019863994792103767,0.03671332448720932,0.8143738508224487
0,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.009254971519112587,0.005559190176427364,-0.07044552266597748
0,doubt,40,5,3,13,10,9,5,0,0,0,0,0,0.0951601043343544,0.17799146473407745,5.920759677886963
0,curiosity,40,5,3,12,11,9,5,0,0,0,0,0,0.09505948424339294,0.17864224314689636,5.926277160644531
0,egogate,40,5,3,12,11,9,5,0,0,0,0,0,0.09505948424339294,0.17864224314689636,5.926276683807373
0,embedding_kcenter,40,5,8,8,8,9,7,0,0,0,0,0,0.019111555069684982,0.017441079020500183,0.5008105635643005
0,egogate_diverse,40,5,7,11,8,8,6,0,0,0,0,0,0.036553867161273956,0.07516653835773468,2.0511603355407715
0,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009145946241915226,0.010650095529854298,5.430645444448601e-08
1,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
1,random,40,5,6,7,8,8,11,0,0,0,0,0,0.00412532314658165,0.0018204584484919906,-0.33509930968284607
1,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.012221376411616802,0.019067810848355293,0.3087739050388336
1,doubt,40,5,3,9,11,9,8,0,0,0,0,0,0.0929659828543663,0.15718741714954376,6.120335578918457
1,curiosity,40,5,3,8,12,9,8,0,0,0,0,0,0.09265626966953278,0.15785236656665802,6.119545936584473
1,egogate,40,5,3,8,12,9,8,0,0,0,0,0,0.09289391338825226,0.15770097076892853,6.126610279083252
1,embedding_kcenter,40,5,4,15,5,8,8,0,0,0,0,0,0.025814030319452286,0.029410410672426224,1.0547797679901123
1,egogate_diverse,40,5,3,12,8,9,8,0,0,0,0,0,0.03920275345444679,0.04010655730962753,1.7987492084503174
1,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008919517509639263,0.009467808529734612,3.1789145538141383e-08
2,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
2,random,40,5,5,6,10,7,12,0,0,0,0,0,0.007422923110425472,0.008822093717753887,-0.10547630488872528
2,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.013519549742341042,0.018094774335622787,0.26440295577049255
2,doubt,40,5,3,12,12,8,5,0,0,0,0,0,0.09505856037139893,0.1879282295703888,5.831910133361816
2,curiosity,40,5,3,12,12,8,5,0,0,0,0,0,0.09474147856235504,0.18804699182510376,5.8208136558532715
2,egogate,40,5,3,12,12,8,5,0,0,0,0,0,0.09505856782197952,0.1879282295703888,5.831910133361816
2,embedding_kcenter,40,5,6,9,8,5,12,0,0,0,0,0,0.020179281011223793,0.033309921622276306,0.7373346090316772
2,egogate_diverse,40,5,5,9,8,6,12,0,0,0,0,0,0.039633188396692276,0.06455511599779129,1.9400333166122437
2,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009245815686881542,0.011216793209314346,-2.9140048596332235e-08
3,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
3,random,40,5,6,7,10,8,9,0,0,0,0,0,0.007370935287326574,0.0033884444274008274,-0.17945066094398499
3,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.006181998644024134,0.0010823530610650778,-0.27467480301856995
3,doubt,40,5,3,15,10,8,4,0,0,0,0,0,0.08980146795511246,0.1494443714618683,6.159712791442871
3,curiosity,40,5,3,14,11,8,4,0,0,0,0,0,0.08916223049163818,0.15021297335624695,6.146691799163818
3,egogate,40,5,3,15,10,8,4,0,0,0,0,0,0.0897815078496933,0.14970672130584717,6.163836479187012
3,embedding_kcenter,40,5,4,9,10,8,9,0,0,0,0,0,0.03436873480677605,0.03703751415014267,1.6270906925201416
3,egogate_diverse,40,5,6,8,9,7,10,0,0,0,0,0,0.034960485994815826,0.0340452715754509,1.5957919359207153
3,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009016782976686954,0.009086663834750652,-2.5166405848153772e-08
4,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
4,random,40,5,13,8,4,7,8,0,0,0,0,0,0.010656342841684818,0.01609104685485363,0.23844566941261292
4,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.006329516880214214,0.003471351694315672,-0.21152587234973907
4,doubt,40,5,4,9,12,8,7,0,0,0,0,0,0.08983821421861649,0.14042973518371582,6.25010347366333
4,curiosity,40,5,3,9,13,8,7,0,0,0,0,0,0.08930829167366028,0.14089146256446838,6.236849784851074
4,egogate,40,5,4,9,12,8,7,0,0,0,0,0,0.08983820676803589,0.14042970538139343,6.250102996826172
4,embedding_kcenter,40,5,5,11,8,8,8,0,0,0,0,0,0.03142097592353821,0.04886458069086075,1.8184232711791992
4,egogate_diverse,40,5,6,12,8,6,8,0,0,0,0,0,0.03818874433636665,0.042179204523563385,1.9712406396865845
4,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008816341869533062,0.008466013707220554,-5.298190774993827e-09
5,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
5,random,40,5,10,7,6,10,7,0,0,0,0,0,0.014069221913814545,0.014176997356116772,0.23739275336265564
5,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.00564979761838913,0.002306787297129631,-0.26968926191329956
5,doubt,40,5,3,13,12,8,4,0,0,0,0,0,0.09550396353006363,0.18450623750686646,5.928258419036865
5,curiosity,40,5,3,12,13,8,4,0,0,0,0,0,0.0949845090508461,0.1848849654197693,5.912708759307861
5,egogate,40,5,3,13,12,8,4,0,0,0,0,0,0.09550396353006363,0.18450622260570526,5.928258895874023
5,embedding_kcenter,40,5,10,7,7,7,9,0,0,0,0,0,0.027467956766486168,0.03851396590471268,1.1215022802352905
5,egogate_diverse,40,5,8,8,8,8,8,0,0,0,0,0,0.039507873356342316,0.06559531390666962,1.989770531654358
5,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009266957640647888,0.011066692881286144,7.947286384535346e-09
6,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
6,random,40,5,10,10,9,5,6,0,0,0,0,0,0.005047178361564875,0.002048636320978403,-0.307428777217865
6,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.008762696757912636,0.014553366228938103,0.08647830784320831
6,doubt,40,5,3,10,12,8,7,0,0,0,0,0,0.09118100255727768,0.1549265831708908,6.219939708709717
6,curiosity,40,5,3,9,14,7,7,0,0,0,0,0,0.08989516645669937,0.1561446487903595,6.189029693603516
6,egogate,40,5,3,11,13,7,6,0,0,0,0,0,0.090900719165802,0.15586432814598083,6.225980281829834
6,embedding_kcenter,40,5,5,6,7,8,14,0,0,0,0,0,0.02423524484038353,0.035688821226358414,1.1387590169906616
6,egogate_diverse,40,5,8,9,6,4,13,0,0,0,0,0,0.03730703145265579,0.052021574229002,1.9988105297088623
6,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009038563817739487,0.009393567219376564,-9.2718339672615e-09
7,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
7,random,40,5,6,11,9,7,7,0,0,0,0,0,0.014571448788046837,0.03337113931775093,0.5827509760856628
7,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.01755155809223652,0.03412251174449921,0.7160173058509827
7,doubt,40,5,3,11,8,9,9,0,0,0,0,0,0.09304609149694443,0.1703871339559555,5.941896438598633
7,curiosity,40,5,3,10,8,10,9,0,0,0,0,0,0.09236278384923935,0.1712067425251007,5.9269914627075195
7,egogate,40,5,3,10,8,10,9,0,0,0,0,0,0.09289790689945221,0.17099611461162567,5.945468425750732
7,embedding_kcenter,40,5,7,11,9,4,9,0,0,0,0,0,0.023474421352148056,0.04208940267562866,1.0830309391021729
7,egogate_diverse,40,5,8,11,9,6,6,0,0,0,0,0,0.041617684066295624,0.08105084300041199,2.4369921684265137
7,full,720,5,142,145,142,146,145,0,0,0,0,0,0.00916692242026329,0.010394296608865261,7.947286384535346e-09
8,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
8,random,40,5,9,6,6,8,11,0,0,0,0,0,0.007073432207107544,0.002108762739226222,-0.22338750958442688
8,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.009967416524887085,0.003768542315810919,-0.07520028203725815
8,doubt,40,5,3,9,11,10,7,0,0,0,0,0,0.09311274439096451,0.17197923362255096,6.244924545288086
8,curiosity,40,5,3,8,12,10,7,0,0,0,0,0,0.09281136095523834,0.1721326857805252,6.235075950622559
8,egogate,40,5,3,9,11,10,7,0,0,0,0,0,0.09311274439096451,0.17197923362255096,6.244924545288086
8,embedding_kcenter,40,5,6,9,9,4,12,0,0,0,0,0,0.02482431009411812,0.03586220368742943,1.0889737606048584
8,egogate_diverse,40,5,7,11,9,5,8,0,0,0,0,0,0.02801499143242836,0.018675928935408592,0.9269118309020996
8,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009074759669601917,0.010321533307433128,-2.6490953874969136e-09
9,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
9,random,40,5,7,9,4,7,13,0,0,0,0,0,0.009682150557637215,0.017472025007009506,0.15738944709300995
9,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.01236987765878439,0.015024158172309399,0.22571949660778046
9,doubt,40,5,3,13,10,9,5,0,0,0,0,0,0.09288044273853302,0.16123418509960175,5.979135036468506
9,curiosity,40,5,3,11,11,9,6,0,0,0,0,0,0.09264008700847626,0.1620633602142334,5.983328342437744
9,egogate,40,5,3,12,11,9,5,0,0,0,0,0,0.09277121722698212,0.16202422976493835,5.988017559051514
9,embedding_kcenter,40,5,2,9,9,9,11,0,0,0,0,0,0.02529159188270569,0.03800655156373978,1.140956163406372
9,egogate_diverse,40,5,5,10,9,7,9,0,0,0,0,0,0.0394442081451416,0.06806115061044693,2.2258193492889404
9,full,720,5,142,145,142,146,145,0,0,0,0,0,0.00904641579836607,0.009686365723609924,-1.5894572769070692e-08
10,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
10,random,40,5,6,11,7,9,7,0,0,0,0,0,0.007610307540744543,0.006382411811500788,-0.10423387587070465
10,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.008208331651985645,0.0050480784848332405,-0.10368652641773224
10,doubt,40,5,3,14,11,8,4,0,0,0,0,0,0.09187634289264679,0.15095195174217224,6.129576206207275
10,curiosity,40,5,3,12,13,8,4,0,0,0,0,0,0.09106878936290741,0.15133902430534363,6.102646827697754
10,egogate,40,5,3,14,11,8,4,0,0,0,0,0,0.09187634289264679,0.15095195174217224,6.129576206207275
10,embedding_kcenter,40,5,3,13,7,8,9,0,0,0,0,0,0.020575104281306267,0.01687515154480934,0.6373606324195862
10,egogate_diverse,40,5,5,14,6,6,9,0,0,0,0,0,0.03962060809135437,0.052855752408504486,2.1074936389923096
10,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008908270858228207,0.009052935987710953,-1.0596381549987655e-08
11,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
11,random,40,5,10,4,9,9,8,0,0,0,0,0,0.008515479974448681,0.005831849295645952,-0.08346115052700043
11,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.008083077147603035,0.002838469808921218,-0.15931665897369385
11,doubt,40,5,3,12,12,8,5,0,0,0,0,0,0.09161437302827835,0.15279194712638855,6.2294602394104
11,curiosity,40,5,3,10,13,7,7,0,0,0,0,0,0.09081224352121353,0.15364007651805878,6.2122626304626465
11,egogate,40,5,3,11,13,8,5,0,0,0,0,0,0.09152015298604965,0.1532893180847168,6.235115051269531
11,embedding_kcenter,40,5,3,11,11,7,8,0,0,0,0,0,0.02735154703259468,0.04327143356204033,1.4271503686904907
11,egogate_diverse,40,5,4,13,10,5,8,0,0,0,0,0,0.03526098281145096,0.0402866005897522,1.7005021572113037
11,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008939654566347599,0.009237213060259819,-1.5894572769070692e-08
12,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
12,random,40,5,6,13,6,7,8,0,0,0,0,0,0.00916792917996645,0.016132120043039322,0.1539493203163147
12,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.008066472597420216,0.002845235401764512,-0.14697109162807465
12,doubt,40,5,3,11,12,9,5,0,0,0,0,0,0.08875174820423126,0.14380288124084473,6.0037126541137695
12,curiosity,40,5,3,11,13,8,5,0,0,0,0,0,0.08841215819120407,0.14432790875434875,5.999178886413574
12,egogate,40,5,3,11,13,8,5,0,0,0,0,0,0.08867420256137848,0.14421437680721283,6.00824499130249
12,embedding_kcenter,40,5,3,16,7,7,7,0,0,0,0,0,0.017984552308917046,0.009734956547617912,0.40980347990989685
12,egogate_diverse,40,5,5,12,9,8,6,0,0,0,0,0,0.04289896786212921,0.07778185606002808,2.777247667312622
12,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008873999118804932,0.008729321882128716,2.6490953874969136e-09
13,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
13,random,40,5,12,6,9,5,8,0,0,0,0,0,0.0072629922069609165,0.003412380814552307,-0.1878814995288849
13,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.010900381952524185,0.013575999066233635,0.16659435629844666
13,doubt,40,5,3,12,13,8,4,0,0,0,0,0,0.09223730862140656,0.14785592257976532,6.233569145202637
13,curiosity,40,5,3,10,16,7,4,0,0,0,0,0,0.09126876294612885,0.1486087441444397,6.2083539962768555
13,egogate,40,5,3,12,14,7,4,0,0,0,0,0,0.09214995801448822,0.14819006621837616,6.236618995666504
13,embedding_kcenter,40,5,3,10,10,5,12,0,0,0,0,0,0.02106294594705105,0.015241304412484169,0.6224260330200195
13,egogate_diverse,40,5,3,11,11,6,9,0,0,0,0,0,0.03300650417804718,0.0305166095495224,1.4244678020477295
13,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009108245372772217,0.00897122547030449,2.119276309997531e-08
14,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
14,random,40,5,9,4,9,6,12,0,0,0,0,0,0.0048657930456101894,0.0026577948592603207,-0.2874516546726227
14,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.01161627285182476,0.028409864753484726,0.2935856878757477
14,doubt,40,5,3,12,8,9,8,0,0,0,0,0,0.09825367480516434,0.20128336548805237,5.797082424163818
14,curiosity,40,5,3,11,9,9,8,0,0,0,0,0,0.09812323749065399,0.20173057913780212,5.797565460205078
14,egogate,40,5,3,11,9,9,8,0,0,0,0,0,0.09812323749065399,0.20173057913780212,5.797565460205078
14,embedding_kcenter,40,5,4,9,12,6,9,0,0,0,0,0,0.019398722797632217,0.025156760588288307,0.5551745891571045
14,egogate_diverse,40,5,6,11,10,5,8,0,0,0,0,0,0.030548423528671265,0.023399611935019493,0.9659307599067688
14,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009311174973845482,0.011936736293137074,-2.119276309997531e-08
15,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
15,random,40,5,9,9,13,4,5,0,0,0,0,0,0.010198250412940979,0.01128285750746727,0.06744682788848877
15,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.011647979728877544,0.010529938153922558,0.11603518575429916
15,doubt,40,5,3,11,12,9,5,0,0,0,0,0,0.09179626405239105,0.16878828406333923,5.971655368804932
15,curiosity,40,5,3,11,13,8,5,0,0,0,0,0,0.09095431864261627,0.16950933635234833,5.947936058044434
15,egogate,40,5,3,12,12,9,4,0,0,0,0,0,0.09168653190135956,0.16913935542106628,5.972640037536621
15,embedding_kcenter,40,5,8,9,5,5,13,0,0,0,0,0,0.027694398537278175,0.05495554953813553,1.4904062747955322
15,egogate_diverse,40,5,8,10,7,6,9,0,0,0,0,0,0.03990679234266281,0.05273411422967911,1.9650557041168213
15,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009012982249259949,0.010150103829801083,1.0596381549987655e-08
16,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
16,random,40,5,7,6,12,9,6,0,0,0,0,0,0.00891957525163889,0.01185394637286663,0.04280726984143257
16,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.005493038799613714,0.0018795530777424574,-0.28901657462120056
16,doubt,40,5,3,11,13,8,5,0,0,0,0,0,0.09127601236104965,0.15536680817604065,6.208993911743164
16,curiosity,40,5,3,11,13,8,5,0,0,0,0,0,0.0906231701374054,0.15594832599163055,6.19243860244751
16,egogate,40,5,3,11,13,8,5,0,0,0,0,0,0.09117210656404495,0.1557396948337555,6.211629867553711
16,embedding_kcenter,40,5,3,14,8,6,9,0,0,0,0,0,0.016385238617658615,0.009178653359413147,0.3068659007549286
16,egogate_diverse,40,5,5,12,10,4,9,0,0,0,0,0,0.03865611180663109,0.04746348410844803,1.9644775390625
16,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009014464914798737,0.009364734403789043,1.0596381549987655e-08
17,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
17,random,40,5,7,7,5,6,15,0,0,0,0,0,0.008821559138596058,0.008248640224337578,-0.025815140455961227
17,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.01079300232231617,0.006947451736778021,0.03175492212176323
17,doubt,40,5,3,10,11,8,8,0,0,0,0,0,0.09139548242092133,0.15178751945495605,6.1637372970581055
17,curiosity,40,5,3,9,11,9,8,0,0,0,0,0,0.09099330753087997,0.15251627564430237,6.16083288192749
17,egogate,40,5,3,9,11,8,9,0,0,0,0,0,0.09117071330547333,0.1523248702287674,6.164595603942871
17,embedding_kcenter,40,5,6,11,6,6,11,0,0,0,0,0,0.017253123223781586,0.022627895697951317,0.6009035110473633
17,egogate_diverse,40,5,4,12,8,7,9,0,0,0,0,0,0.03573395684361458,0.0513303168118,1.920880675315857
17,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008971567265689373,0.009273141622543335,-2.119276309997531e-08
18,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
18,random,40,5,11,2,9,11,7,0,0,0,0,0,0.009754030033946037,0.019174885004758835,0.20479723811149597
18,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.005992797203361988,0.0012658238410949707,-0.27701443433761597
18,doubt,40,5,3,7,13,9,8,0,0,0,0,0,0.09415185451507568,0.16118668019771576,6.233468055725098
18,curiosity,40,5,3,6,13,9,9,0,0,0,0,0,0.09318037331104279,0.16149382293224335,6.199812889099121
18,egogate,40,5,3,7,13,9,8,0,0,0,0,0,0.09415185451507568,0.16118669509887695,6.233468055725098
18,embedding_kcenter,40,5,5,12,9,10,4,0,0,0,0,0,0.021037975326180458,0.02242327108979225,0.721150815486908
18,egogate_diverse,40,5,7,12,8,8,5,0,0,0,0,0,0.03983882814645767,0.04973013699054718,1.9844601154327393
18,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009041918441653252,0.009613428264856339,2.6490953430879927e-08
19,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
19,random,40,5,7,10,9,4,10,0,0,0,0,0,0.007911753840744495,0.0039053335785865784,-0.1333058774471283
19,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.0077929869294166565,0.008541746065020561,-0.03970074653625488
19,doubt,40,5,3,12,11,9,5,0,0,0,0,0,0.08961807191371918,0.13769838213920593,6.232920169830322
19,curiosity,40,5,3,11,12,9,5,0,0,0,0,0,0.08883963525295258,0.13843566179275513,6.215106010437012
19,egogate,40,5,3,11,12,9,5,0,0,0,0,0,0.0895225778222084,0.13839566707611084,6.243655204772949
19,embedding_kcenter,40,5,3,9,7,9,12,0,0,0,0,0,0.02166936919093132,0.023920824751257896,0.8851375579833984
19,egogate_diverse,40,5,4,12,9,5,10,0,0,0,0,0,0.038231126964092255,0.046708278357982635,2.0833215713500977
19,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008814055472612381,0.008341810666024685,1.0596381549987655e-08
